                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.74916,                 0.6201,                 1.2434,                0.91926,                0.91015,                0.93616,                0.76893,                0.75108,                0.45615,                 1.3037,             0.00083235,             0.00083235,             0.00083235
                     83,                0.75253,                 0.6261,                 1.2503,                0.90832,                0.89489,                0.93586,                0.75035,                0.78938,                0.48525,                 1.3416,             0.00082844,             0.00082844,             0.00082844
                     84,                 0.7381,                0.60496,                 1.2344,                0.91852,                0.89908,                 0.9506,                0.76032,                0.78358,                0.48174,                 1.3297,              0.0008245,              0.0008245,              0.0008245
                     85,                0.75284,                0.62396,                 1.2426,                0.87508,                0.86832,                0.92738,                0.74366,                0.79253,                0.54901,                 1.3444,             0.00082052,             0.00082052,             0.00082052
                     86,                0.74368,                0.62564,                 1.2348,                0.91455,                0.87875,                0.94185,                0.74772,                0.78028,                0.46809,                 1.3331,             0.00081651,             0.00081651,             0.00081651
                     87,                0.73162,                0.60734,                 1.2296,                0.91972,                0.91921,                0.94346,                0.76074,                0.78049,                0.46267,                 1.3336,             0.00081247,             0.00081247,             0.00081247
                     88,                0.75692,                0.62951,                 1.2408,                 0.9269,                0.91339,                0.94729,                0.75578,                0.79493,                0.48672,                 1.3326,             0.00080839,             0.00080839,             0.00080839
                     89,                0.75158,                0.60242,                  1.241,                0.93486,                0.92222,                0.95164,                0.76515,                0.79904,                0.45167,                 1.3624,             0.00080428,             0.00080428,             0.00080428
                     90,                0.74459,                0.62196,                 1.2389,                0.92168,                0.90608,                0.94514,                0.76307,                 0.7719,                0.46061,                 1.3299,             0.00080013,             0.00080013,             0.00080013
                     91,                0.73163,                0.60396,                 1.2215,                0.92089,                0.93468,                0.95315,                0.76263,                0.76992,                0.43332,                 1.3292,             0.00079595,             0.00079595,             0.00079595
                     92,                0.72869,                0.60915,                 1.2353,                0.91231,                 0.9554,                0.95592,                0.75849,                0.78709,                0.45413,                 1.3317,             0.00079174,             0.00079174,             0.00079174
                     93,                0.74321,                 0.6132,                 1.2307,                0.91571,                0.92348,                0.94446,                0.76052,                0.77506,                0.44404,                  1.318,              0.0007875,              0.0007875,              0.0007875
                     94,                0.71992,                0.59143,                 1.2148,                0.88632,                 0.9351,                0.93459,                0.75797,                0.80306,                0.44283,                 1.3569,             0.00078323,             0.00078323,             0.00078323
                     95,                 0.7176,                0.58773,                 1.2233,                0.94368,                0.91037,                0.95266,                0.76538,                0.76095,                 0.4559,                 1.3075,             0.00077893,             0.00077893,             0.00077893
                     96,                0.71406,                0.58182,                 1.2149,                 0.8955,                0.91755,                0.94929,                0.76377,                0.75678,                0.46833,                 1.3158,              0.0007746,              0.0007746,              0.0007746
                     97,                0.71097,                0.59027,                 1.2163,                  0.929,                0.88923,                0.94563,                0.74107,                0.79993,                0.50813,                  1.359,             0.00077023,             0.00077023,             0.00077023
                     98,                 0.7156,                0.58054,                  1.218,                0.91217,                0.90946,                0.93297,                0.74958,                0.80549,                0.51081,                 1.3731,             0.00076584,             0.00076584,             0.00076584
                     99,                0.71754,                0.58854,                 1.2223,                0.89588,                0.90002,                0.93744,                 0.7473,                0.79116,                0.47577,                 1.3463,             0.00076142,             0.00076142,             0.00076142
